Date,jpm_hist_vol_10,jpm_hist_vol_30,jpm_hist_vol_50,jpm_hist_vol_100,jpm_adj_close,jpm_volume,bac_adj_close,bac_volume,msft_adj_close,msft_volume,jnj_adj_close,jnj_volume,spx_adj_close,spx_volume,fnma_adj_close,fnma_volume,ust_adj_close,FEDL01,CPI,UE,CCI,GDP,citi_adj_close,citi_volume,ms_adj_close,ms_volume,ry_adj_close,ry_volume,wfc_adj_close,wfc_volume,jpm_10d_ma,jpm_20d_ma,jpm_30d_ma,jpm_rsi,bac_10d_ma,bac_20d_ma,bac_30d_ma,bac_rsi,ms_10d_ma,ms_20d_ma,ms_30d_ma,ms_rsi,ry_10d_ma,ry_20d_ma,ry_30d_ma,ry_rsi,wfc_10d_ma,wfc_20d_ma,wfc_30d_ma,wfc_rsi,citi_10d_ma,citi_20d_ma,citi_30d_ma,citi_rsi
8/18/2023,15.741,16.794,17.201,21.07,148.97,8517460,29.11,31430361,320.4,20698864,172.39,85594288,4404.33,531415338,0.6101,12830231,4.2504,5.33,3.2,3.5,114,2.1,42.25,12908746,84.89,6649991,121.8,4723723,42.5,10797342,147.729,146.8545,146.8693333,70.14106583,28.791,28.7395,28.44733333,60.38781163,84.251,84.9905,84.76833333,49.83164983,121.605,121.686,121.2503333,56.22254758,41.747,41.7615,41.77133333,64.6484375,41.444,41.5285,41.495,72.55434783
8/17/2023,16.191,16.849,17.2,21.071,148.63,9953912,29.28,37202231,321.86,16966285,172.94,88924923,4437.86,540853380,0.5,6183720,4.211,5.33,3.2,3.5,114,2.1,42.46,16123601,85.79,7611216,122.49,4434423,42.47,12685974,147.959,146.8455,146.9896667,68.89915319,28.852,28.7615,28.51066667,66.1971831,84.315,84.8595,84.90566667,61.16838488,121.68,121.6045,121.3766667,57.7385159,41.865,41.7375,41.825,72.27074236,41.561,41.516,41.53933333,73.06666667
8/16/2023,15.964,16.583,17.091,21.421,150.19,6978235,29.29,47220396,324.04,18836139,173.44,64036947,4489.72,482233474,0.495,4645796,4.1913,5.33,3.2,3.5,114,2.1,42.64,13963588,85.99,5746330,123.42,4555147,42.22,10076681,148.162,146.8925,147.0763333,69.64688204,28.877,28.766,28.56833333,63.63636364,84.388,84.7055,85.03233333,60.6271777,121.724,121.6025,121.532,57.70862801,41.933,41.696,41.86866667,64.1509434,41.688,41.491,41.58733333,69.30091185
8/15/2023,16.948,16.856,17.037,21.579,150.83,10300303,29.94,43406068,321.01,24355491,173.85,45905612,4464.05,523485454,0.4548,757905,4.1522,5.33,3.2,3.5,114,2.1,43.21,17125139,86.16,9308838,124.04,5148595,42.73,13835858,148.369,147.1135,147.2446667,70.53245806,28.954,28.819,28.65733333,67.4796748,84.449,84.651,85.18266667,58.14814815,121.862,121.7065,121.7566667,57.22460658,42.006,41.72,41.931,64.06619385,41.837,41.533,41.679,74.02597403
8/14/2023,11.697,15.349,16.012,21.117,154.77,5044282,30.93,32563693,322.93,20113725,172.17,48213840,4468.83,564477601,0.4524,689250,4.1055,5.33,3.2,3.5,114,2.1,44.1,14280349,87.33,3637483,126.87,4512584,43.74,10676968,149.09,147.535,147.5726667,74.79725515,29.171,28.917,28.78266667,72.4137931,84.744,84.74,85.35466667,59.44976077,122.347,121.989,122.0236667,62.57822278,42.192,41.78,42.034,70.37037037,42.115,41.654,41.80833333,77.827051
8/11/2023,11.567,15.459,16.588,21.604,154.45,5180690,31.29,35720658,322.23,22373268,173.07,42974372,4467.71,567521642,0.4527,1101798,4.0081,5.33,3.2,3.5,114,2.1,44.57,11973166,87.7,3922388,127.57,3169950,43.73,7316190,149.83,148.0345,147.8393333,75.59899117,29.45,29.0575,28.90566667,79.77272727,85.192,84.9495,85.51033333,65.68265683,123.002,122.3475,122.262,68.72190109,42.442,41.9,42.10633333,75.52301255,42.448,41.853,41.92666667,85.04273504
8/10/2023,11.782,15.828,16.775,21.964,153.56,5995076,30.94,26062601,326.05,22327574,173.18,27378701,4499.38,539376272,0.4501,672607,4.022,5.33,3.2,3.5,114,2.1,44.34,12112307,87.64,4250083,127.7,4838165,43.67,11982245,150.463,148.521,148.1003333,68.09651475,29.682,29.1865,29.01566667,71.68949772,85.612,85.0855,85.65533333,64.72772277,123.51,122.7275,122.5096667,66.3208852,42.666,42.0335,42.18766667,73.20261438,42.774,42.0405,42.04066667,80.74534161
8/9/2023,12.567,18.438,17.121,22.001,153.79,6277813,30.86,30732077,330.11,17741526,173.1,17736444,4518.44,634868167,0.451,2110282,4.0885,5.33,3.2,3.5,114,2.1,44.44,13957097,87.56,5200499,127.48,2992374,43.72,11973847,151.105,149.0245,148.322,67.28522337,29.923,29.323,29.10933333,69.51501155,86.029,85.2715,85.74466667,62.77001271,124.232,123.0865,122.7256667,66.78272981,42.877,42.198,42.23433333,70.57416268,43.11,42.226,42.13166667,79.69432314
8/8/2023,11.873,17.847,16.716,22.828,155.88,8623379,31.27,45951795,327.78,23741484,169.04,23415053,4478.03,625407459,0.4532,2135655,4.0338,5.33,3.2,3.5,114,2.1,45.16,18524532,88.47,6921211,127.48,4997740,44.48,14519961,152.055,149.5705,148.5746667,76.94300518,30.206,29.467,29.2,78.98383372,86.578,85.487,85.789,76.87253614,125.009,123.3985,122.8826667,69.89795918,43.175,42.371,42.288,76.97095436,43.524,42.4155,42.227,89.18367347
8/7/2023,12.144,17.644,16.669,22.969,156.76,7251832,31.88,31745211,326.66,18360352,170.64,17425230,4501.89,694274378,0.4461,1356050,4.1751,5.33,3.2,3.5,114,2.1,45.83,16972003,89.08,4663330,128.25,2853711,45.06,10860288,152.783,150.1485,148.8356667,80.7084124,30.479,29.6285,29.30766667,86.11111111,87.061,85.699,85.808,91.50141643,125.71,123.71,123.079,76.79762787,43.432,42.547,42.34933333,90.31578947,43.9,42.639,42.332,91.80327869
8/4/2023,12.358,17.65,16.664,24.373,156.02,6209397,31.3,30768124,327.5,27761257,169.91,14599264,4513.39,584666104,0.4531,1557502,4.0775,5.33,3.2,3.5,114,2.1,45.71,18329470,88.79,6191970,127.7,3025071,44.85,10840773,153.488,150.6085,149.0656667,76.84789249,30.698,29.7445,29.39233333,76.07003891,87.451,85.851,85.81066667,87.51753156,126.3,123.9525,123.224,70.41800643,43.667,42.707,42.39666667,85.92436975,44.246,42.845,42.43433333,92.47706422
8/3/2023,16.661,17.775,16.859,24.67,156.35,6087542,31.41,27952590,336.34,18381253,168.89,15811545,4576.73,823449657,0.47,6872416,4.023,5.33,3.2,3.5,114,2.1,46.21,13478599,89.14,5139385,128.49,5705081,45.15,12154795,154.26,151.1095,149.317,77.11352657,30.911,29.8815,29.478,79.13385827,87.786,86.0505,85.835,88.69448183,126.9,124.29,123.3696667,87.85648574,43.935,42.9,42.47,86.2704918,44.621,43.091,42.551,93.1092437
8/2/2023,16.939,19.081,17.112,24.869,155.4,8303708,31.19,38855118,335.92,25446022,167.53,22632720,4588.96,647234729,0.441,1120456,3.9588,5.33,3.2,3.5,114,2.1,46.31,13110345,89.32,6412103,129.67,8955137,45.1,13914289,154.781,151.4715,149.522,77.30024213,31.101,29.989,29.54433333,75.99243856,88.119,86.2535,85.84333333,94.02777778,127.525,124.6245,123.5766667,93.30434783,44.223,43.078,42.53833333,87.34439834,44.988,43.338,42.65666667,94.15692821
8/1/2023,16.779,18.61,16.991,25.068,157.18,6855682,31.62,32735030,338.37,28484868,174.48,14138839,4582.23,713687682,0.44,1056178,3.9507,5.33,3,3.6,110.1,2.1,47.07,15234144,90.94,4468883,130.73,4189609,45.71,12705674,155.416,151.8925,149.881,75.32894737,31.269,30.1115,29.63566667,74.6506986,88.597,86.523,85.96633333,94.30463576,128.194,125.028,123.869,93.01903898,44.521,43.2635,42.65366667,86.26126126,45.374,43.6055,42.81333333,93.85964912
7/31/2023,16.237,18.617,16.939,26.727,157.96,8894353,32,29093388,330.72,39635262,173.69,12446386,4537.41,614526566,0.4421,987315,3.9982,5.33,3,3.6,110.1,2.1,47.66,14378819,91.56,5245689,130.31,6342598,46.16,11698545,155.735,152.4125,150.2683333,79.05623788,31.376,30.2735,29.73666667,77.00934579,89.02,86.882,86.16666667,94.28950863,128.538,125.4425,124.172,89.07254362,44.763,43.4775,42.77433333,87.5,45.73,43.9225,43.01266667,94.27168576
7/28/2023,16.095,18.599,16.952,26.739,156.91,9105974,31.9,33296547,337.77,58383702,172.72,14288173,4566.75,597126166,0.4415,785166,3.8668,5.08,3,3.6,110.1,2.1,47.41,20880954,91.57,5799077,130.16,7136818,46.14,12617523,155.981,152.9055,150.6833333,75.58714462,31.437,30.4435,29.85066667,74.81060606,89.407,87.2995,86.43533333,93.52409639,128.797,125.8995,124.4973333,87.0531401,45.004,43.723,42.93466667,87.67967146,46.014,44.231,43.24,90.24390244
7/27/2023,19.78,18.742,18.106,27.199,156.02,10778406,31.95,45529457,350.98,41637739,172.39,13790053,4567.46,550797536,0.4453,2799978,3.8845,5.08,3,3.6,110.1,2.1,47.88,25162654,92.75,8427846,130.52,10672565,45.77,19509566,156.227,153.345,151.0896667,68.79432624,31.538,30.61,29.97033333,75,89.918,87.765,86.69633333,94.35695538,129.079,126.2945,124.8446667,86.29856851,45.214,43.94,43.09366667,85.57114228,46.368,44.571,43.483,90.68322981
7/26/2023,17.377,18.341,17.949,27.151,157.76,8728593,32.41,41814601,345.11,26719207,171.08,15155446,4554.64,1153304016,0.455,1310257,3.8725,5.08,3,3.6,110.1,2.1,47.49,12267870,93.54,7201113,130.01,11659379,46.44,19520918,156.624,153.8645,151.5576667,70.86092715,31.693,30.808,30.113,74.07407407,90.516,88.2725,87.01966667,94.7815534,129.332,126.782,125.1683333,80.86866598,45.486,44.1815,43.294,86.01941748,46.673,44.8915,43.70833333,84.18530351
7/25/2023,17.397,18.359,17.978,27.283,156.82,9944679,32.15,51208837,343.77,69405382,170.19,12079999,4536.34,689496830,0.462,2542189,3.8349,5.08,3,3.6,110.1,2.1,47.09,14729859,94.42,7760115,132.06,4666604,45.48,13537415,156.718,154.3865,151.953,57.53122704,31.781,30.9935,30.23833333,63.86363636,91.111,88.8445,87.36166667,94.59119497,129.79,127.3995,125.529,79.19010124,45.586,44.3805,43.44266667,67.05882353,46.866,45.195,43.899,75.90987868
7/24/2023,15.351,18.072,18.27,27.311,158,14381425,32.65,64548640,346.87,33778395,168.38,21892881,4534.87,681026287,0.44,1601903,3.8503,5.08,3,3.6,110.1,2.1,47.66,19006176,94.67,7259773,131.03,11741864,46.42,12053227,156.842,154.8125,152.3796667,62.26675881,31.858,31.1685,30.37166667,64.97797357,91.67,89.3655,87.68933333,94.5083014,130.068,127.889,125.8293333,68.76355748,45.722,44.577,43.60533333,72.30514096,47.049,45.4745,44.109,76.32027257
7/21/2023,14.483,17.42,17.908,27.164,154.95,10636378,31.98,70872359,355.08,39732901,158.74,7522557,4565.72,655711511,0.4476,1847740,3.7483,5.08,3,3.6,110.1,2.1,47.05,18251617,94.01,6298629,130.43,6265555,45.96,16215407,156.735,155.1115,152.6506667,54.17919423,31.926,31.312,30.47166667,60.69958848,92.192,89.8215,87.96466667,87.78173191,130.341,128.3205,126.082,64.08668731,45.833,44.75,43.749,67.80715397,47.183,45.7145,44.291,71.68
